,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
0,72,90,57,64,74,63,73,65,57,81,76,61,76,90,85,68,63,119,80,74,73,78,67,82,94,74,74,69,77,61,82,87,61,65,78,74,90,77,61,81,81,72,78,80,59,74,87,94,87,70,61,76,82,87,93,73,69,95,102,80,67,68,68,73,76,53,87,110,99,64,85,74,80,94,73,64,67,80,68,85,57,65,63,93,76,73,67,68,60,83,77,70,73,72,73,59,77,65,60,77,97,68,78,70,91,89,68,64,98,63,86,64,78,69,61,83,63
1,78,95,77,68,60,78,94,69,82,50,63,65,78,73,86,83,80,82,72,82,51,77,72,60,65,85,82,98,77,85,51,69,89,74,67,83,60,67,48,76,98,76,65,77,72,83,57,67,100,72,77,63,67,91,80,68,72,91,67,60,77,86,55,59,86,69,85,51,86,73,81,56,68,64,91,69,51,53,117,77,81,70,55,65,72,65,59,73,78,68,57,56,81,81,57,63,67,83,89,73,70,85,69,77,78,87,80,78,78,76,68,83,70,77,81,78,72
2,69,89,44,82,86,86,90,72,61,56,65,83,85,82,65,74,63,65,67,73,78,86,73,87,94,70,61,83,82,73,67,68,77,64,80,59,81,77,74,59,61,65,60,87,52,94,82,72,83,85,76,82,59,86,77,83,55,69,70,76,72,95,69,68,65,65,52,70,106,83,74,63,46,69,63,69,90,50,85,65,61,97,95,81,87,78,51,78,63,70,95,63,60,60,93,78,106,90,67,65,87,76,63,57,68,85,67,77,55,85,68,65,85,76,74,81,80
3,57,94,78,63,93,80,103,74,80,78,61,82,78,57,70,70,56,82,72,83,90,69,70,63,60,78,60,89,83,67,72,90,70,65,83,59,110,78,82,87,74,57,95,72,90,80,63,102,83,95,76,68,80,95,67,83,82,60,83,89,90,103,73,63,81,82,56,74,63,64,69,74,59,87,57,67,82,61,69,72,76,67,73,76,85,100,72,90,72,77,86,80,90,68,91,63,86,74,74,72,108,69,94,64,98,70,90,65,65,77,72,70,61,72,64,65,83
4,72,69,80,74,86,68,68,69,67,93,69,70,72,78,69,56,57,65,90,76,69,93,65,61,69,78,76,81,68,61,100,89,56,74,72,65,73,69,77,77,93,60,82,81,56,77,77,76,86,87,74,72,55,55,91,72,81,65,80,87,86,82,68,69,91,73,86,83,56,69,65,76,68,72,65,85,86,53,64,91,82,64,91,83,80,64,69,67,90,85,67,81,64,68,82,67,56,78,81,65,93,100,63,72,67,65,70,85,77,78,68,63,78,81,72,69,89
5,82,77,61,87,74,74,89,65,86,69,89,94,67,80,59,65,81,64,100,99,83,63,82,85,85,83,78,83,86,70,90,78,70,68,65,70,57,74,77,64,51,70,115,67,81,56,86,70,82,73,104,68,86,87,63,85,57,73,59,82,74,68,83,95,90,78,80,89,60,69,64,74,85,67,69,95,60,64,78,76,78,57,67,98,73,81,72,91,77,99,93,85,85,65,64,52,81,61,90,56,78,72,56,85,94,82,72,56,60,76,81,76,70,72,74,52,81
6,77,63,86,72,63,83,78,82,64,60,89,90,87,70,76,64,51,89,56,63,69,91,77,65,78,76,89,72,68,73,90,74,56,70,86,72,82,89,90,68,90,67,70,67,68,70,68,63,64,83,95,70,72,60,63,57,93,65,80,82,63,67,61,63,63,76,76,112,67,78,76,78,93,90,73,73,80,82,60,50,82,68,82,87,68,68,78,59,82,64,106,67,89,76,73,69,91,65,87,67,74,74,60,86,60,93,93,70,78,91,65,68,60,70,82,81,60
7,63,91,90,50,76,81,69,89,74,102,102,60,56,57,65,89,77,97,87,69,57,87,68,64,63,77,97,61,86,74,59,63,78,97,70,61,93,90,67,55,80,69,63,64,69,81,94,80,97,67,67,63,57,65,94,81,77,70,68,63,72,69,67,85,94,74,86,86,89,60,73,63,64,107,55,65,55,119,87,83,86,63,78,80,83,100,106,78,52,73,76,80,110,76,87,59,51,65,61,76,90,76,65,67,91,68,89,91,78,77,77,59,86,68,70,78,63
8,90,63,57,51,76,65,63,72,57,76,78,53,56,59,61,73,70,73,89,73,69,61,67,68,77,77,74,76,64,80,93,51,97,77,70,97,83,77,81,89,63,61,57,67,81,61,76,56,87,67,91,63,61,67,87,69,73,83,74,68,86,85,68,80,59,65,102,90,78,67,80,85,86,74,61,91,68,65,76,68,57,67,73,70,64,73,86,99,83,68,77,55,72,51,89,86,80,69,69,85,81,93,76,77,85,73,68,89,89,56,56,70,85,78,78,67,63
9,78,90,67,120,64,86,77,63,57,81,81,69,80,68,89,56,53,87,98,98,81,60,94,98,59,94,72,60,64,73,117,103,119,55,69,77,50,63,64,83,68,56,61,76,82,63,53,91,65,70,82,72,60,77,89,87,93,85,67,56,87,78,78,74,64,107,83,70,76,69,76,77,76,73,64,67,69,97,73,89,76,90,64,55,70,86,73,89,78,61,57,95,69,64,77,85,67,59,70,87,78,107,69,89,56,70,67,69,73,91,77,85,72,64,89,76,83
10,87,76,93,57,73,111,57,70,86,65,67,73,63,73,65,77,77,57,78,81,68,64,91,74,50,85,81,53,64,76,90,69,78,76,89,80,83,81,81,65,65,52,93,73,68,64,77,63,76,72,81,89,64,90,63,64,82,73,82,78,77,85,67,80,76,72,90,67,95,78,81,56,83,80,80,78,89,80,82,78,67,67,80,73,87,72,81,63,67,81,90,81,73,77,95,108,91,72,68,73,78,80,63,90,78,83,65,61,93,69,67,81,82,73,94,64,85
11,67,77,87,57,67,83,102,80,90,67,57,69,90,93,74,72,64,68,97,57,82,82,72,59,77,89,85,81,73,100,87,69,63,78,65,90,87,67,76,70,83,87,80,68,73,69,68,81,56,82,73,68,65,72,78,98,68,61,80,68,90,67,70,73,51,63,63,99,83,81,65,69,72,85,80,67,61,80,70,95,93,91,74,72,103,85,82,78,67,69,76,94,73,94,67,68,90,89,82,103,69,97,55,82,70,93,53,63,111,78,78,74,74,68,61,69,82
12,57,78,83,74,60,61,63,80,68,63,67,91,69,64,57,63,64,70,56,80,63,65,103,83,87,65,100,74,91,56,64,69,70,77,87,83,56,65,67,85,78,57,82,65,86,77,73,53,73,65,73,78,67,76,53,46,85,85,78,81,72,73,67,86,61,76,63,68,76,77,60,86,53,91,63,68,68,78,85,69,74,90,68,61,63,85,82,77,77,103,60,67,99,100,78,73,77,61,69,73,103,65,87,63,78,78,72,91,70,73,74,77,69,80,72,61,52
13,70,74,73,69,67,108,95,86,56,64,80,56,74,111,57,56,60,100,87,65,102,78,85,91,60,69,74,64,59,70,98,68,70,97,81,73,90,73,87,76,72,90,78,78,113,67,87,61,68,90,86,112,74,55,83,81,68,81,86,70,69,93,78,57,59,86,80,67,89,64,83,59,57,68,72,80,67,72,68,80,77,80,68,69,86,73,67,95,68,94,77,73,64,80,91,86,86,82,61,89,85,86,65,69,64,80,80,78,73,69,78,74,81,64,73,98,73
14,63,77,74,82,74,73,67,83,80,67,77,61,78,89,60,81,82,73,86,53,82,63,86,74,73,64,59,73,83,65,59,61,57,56,57,94,83,91,50,70,82,65,83,85,90,80,104,82,110,63,76,104,89,76,77,74,69,74,65,93,61,76,85,91,60,77,81,72,83,85,68,63,70,76,76,80,69,72,97,70,68,77,89,78,68,97,87,73,72,63,76,80,69,87,63,59,55,78,91,70,76,78,85,82,73,56,68,68,83,72,99,70,67,80,95,68,87
15,77,83,82,97,73,59,77,59,69,65,68,80,78,67,64,77,64,56,72,68,82,91,73,83,63,77,86,76,67,87,61,70,69,74,77,86,73,76,64,73,57,63,67,67,77,93,99,76,51,100,74,69,81,69,97,99,60,87,93,68,78,72,91,77,99,59,67,86,80,87,98,73,68,121,70,86,91,74,80,73,72,80,86,70,69,93,68,56,78,95,78,87,80,61,65,87,69,68,68,83,89,73,76,76,65,73,57,78,86,76,70,89,53,83,81,65,70
16,95,64,76,69,70,67,82,61,86,70,61,86,82,97,81,76,67,77,60,82,72,64,64,78,85,69,61,61,63,64,55,93,85,89,76,70,81,102,89,77,97,69,83,69,63,64,76,57,55,77,82,73,63,70,67,65,76,56,81,64,87,73,87,69,93,68,64,67,90,85,76,91,61,64,78,70,86,89,63,56,69,83,76,89,56,67,91,69,57,69,69,73,65,81,60,67,86,81,86,67,73,69,94,85,61,69,68,73,90,56,78,85,82,77,87,94,77
