,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
0,70,76,57,73,65,52,57,76,57,86,60,44,73,70,78,65,76,141,86,70,83,99,70,70,102,65,70,70,86,44,83,86,47,57,76,63,83,63,52,65,70,76,73,47,47,99,83,110,57,83,47,86,65,70,86,89,78,117,97,83,63,52,52,63,86,57,70,94,99,63,91,81,115,78,68,70,78,99,81,102,50,44,60,102,91,60,65,97,60,99,86,65,73,91,102,65,78,65,70,89,91,50,86,76,104,76,52,65,81,70,91,44,86,83,70,78,76
1,52,76,86,76,60,86,83,52,76,47,65,68,83,70,50,68,55,70,57,102,60,73,86,63,68,94,86,110,65,65,52,57,76,89,65,65,57,81,44,97,78,78,55,68,52,86,65,68,107,78,83,60,70,107,70,68,68,107,52,52,89,112,60,65,76,68,78,39,86,76,81,68,60,44,60,47,52,50,115,70,65,73,47,81,68,76,50,47,99,63,52,50,55,81,68,63,55,68,89,86,60,68,78,63,57,76,81,78,78,94,68,73,55,63,63,60,70
2,94,110,47,57,89,68,94,76,63,55,55,70,89,65,63,89,55,55,63,60,55,89,86,86,78,76,70,86,81,76,52,50,94,60,76,63,78,63,65,52,60,68,65,81,52,83,68,89,55,81,102,68,65,70,50,63,70,50,60,47,60,110,78,60,50,70,44,65,97,83,55,57,50,89,52,81,78,47,68,60,70,91,73,81,81,60,60,76,47,81,70,70,55,52,91,78,81,68,68,78,91,83,86,57,44,89,57,102,55,97,65,60,70,60,86,70,68
3,57,81,78,78,97,63,91,70,102,81,60,97,86,65,60,70,60,68,63,83,68,76,86,73,60,63,50,63,81,55,86,78,91,68,104,57,97,97,55,60,65,55,91,65,94,65,70,78,57,91,89,60,94,78,68,68,73,60,76,107,68,104,73,52,76,70,63,78,65,65,65,70,68,65,57,78,63,50,65,65,83,63,65,76,81,97,78,47,70,81,68,94,91,76,83,50,78,83,55,60,117,73,78,55,76,68,68,81,65,76,52,70,55,83,70,65,83
4,65,55,83,65,81,60,52,47,86,76,83,55,57,86,70,44,44,78,107,52,81,57,81,55,50,73,63,86,65,63,110,57,57,70,76,65,65,47,110,50,86,70,73,83,47,83,86,78,91,70,86,63,47,68,91,86,83,47,110,104,70,91,57,83,81,68,68,86,70,76,81,70,60,47,65,73,78,68,81,83,86,76,76,60,81,55,70,81,76,110,44,94,60,65,94,57,68,78,81,52,81,104,60,65,68,63,63,78,70,70,60,65,76,83,65,60,57
5,57,78,68,73,65,76,70,60,55,76,83,86,73,65,47,60,83,50,78,120,76,60,73,60,83,78,91,91,76,44,81,57,68,70,52,50,68,89,83,68,52,50,107,76,73,73,50,76,76,81,97,73,86,89,55,57,60,70,70,70,55,76,89,86,76,50,86,89,70,57,65,60,76,60,81,70,57,60,70,81,50,65,68,78,86,81,73,76,86,107,81,60,81,57,60,57,70,50,91,57,78,73,52,97,65,97,76,57,73,60,57,60,60,60,63,50,70
6,60,63,81,60,65,70,68,63,57,65,68,89,65,89,65,60,44,89,47,55,89,60,89,55,63,86,86,63,63,94,57,68,57,83,94,57,63,81,99,70,89,55,55,76,60,65,81,65,78,73,91,63,63,65,63,63,57,68,70,86,81,73,50,76,52,57,52,83,73,76,73,63,68,78,55,57,81,63,60,52,83,86,78,78,76,81,65,70,65,65,70,63,55,68,76,55,76,50,68,52,55,83,57,63,52,97,76,57,78,81,76,78,50,50,78,89,47
7,60,89,107,47,60,60,52,99,86,89,104,65,60,65,55,86,57,83,65,55,57,83,70,47,63,97,70,73,78,91,65,57,63,97,60,68,102,73,73,60,76,47,63,60,63,76,89,76,65,65,70,65,70,76,70,78,70,65,68,57,70,73,68,94,97,55,83,81,70,70,50,78,55,97,65,68,44,112,50,78,73,78,52,81,52,50,102,63,52,65,76,97,102,81,76,70,55,81,73,65,73,99,65,65,76,86,70,102,78,73,55,55,65,55,55,81,44
8,99,44,63,50,65,83,70,55,44,73,81,55,44,55,55,70,55,86,97,65,57,55,50,63,68,91,68,73,50,70,97,60,99,52,60,73,99,57,55,86,55,57,52,68,76,55,97,57,94,50,57,55,70,60,97,52,57,81,91,55,81,65,65,81,57,52,86,65,86,63,47,86,91,86,50,78,55,81,89,55,55,81,50,68,73,50,81,117,89,78,83,63,70,60,83,73,81,76,60,78,104,68,81,70,68,73,52,94,57,47,65,76,86,52,52,83,83
9,70,68,63,107,76,86,73,50,52,60,73,60,97,55,97,65,42,76,81,107,55,65,110,65,55,91,73,39,70,91,112,83,117,55,55,70,50,76,65,76,70,63,60,89,73,57,63,104,73,76,104,60,68,60,86,91,102,65,68,52,63,65,65,73,60,78,78,86,57,52,81,86,57,73,60,60,65,86,68,78,57,73,55,57,55,78,52,60,70,47,55,94,52,83,52,50,73,68,70,78,78,99,83,73,57,94,52,91,73,115,83,63,44,60,89,97,60
