,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
0,82,89,86,83,85,78,80,75,85,93,87,81,85,81,79,86,88,76,91,83,91,88,88,90,83,79,92,83,85,87,88,94,90,76,89,78,83,85,88,81,88,93,80,73,78,90,77,88,77,78,81,80,88,87,83,86,79,82,95,86,87,85,78,85,76,87,99,87,92,73,88,90,97,92,78,83,89,82,79,83,81,83,90,87,82,77,79,91,82,78,85,83,88,82,88,86,87,83,81,88,85,87,81,79,89,86,73,76,103,86,89,88,89,86,80,81,89
1,83,96,85,77,80,86,89,92,83,99,79,89,80,89,78,82,93,75,75,90,76,90,86,80,90,89,88,85,87,82,86,86,90,92,85,88,75,77,85,91,87,96,81,75,83,85,89,86,95,82,89,91,97,88,80,91,78,81,82,73,100,98,78,87,90,79,83,112,82,93,88,77,92,86,79,93,99,80,93,78,105,88,97,77,79,76,88,86,86,87,76,86,88,81,83,88,82,94,92,76,91,92,87,80,75,90,76,81,78,89,90,80,89,83,87,90,87
2,85,90,81,92,80,90,96,92,78,80,91,83,93,94,95,80,74,87,86,90,82,96,81,89,81,88,75,88,83,88,77,89,90,79,85,82,91,88,93,88,82,80,85,87,89,92,94,81,92,99,96,89,85,82,86,93,76,89,94,90,90,93,87,82,81,80,92,80,81,78,87,80,83,98,83,80,88,81,85,81,93,95,104,93,96,79,79,85,79,78,85,85,88,90,90,80,92,91,75,87,91,79,85,89,88,87,77,77,78,88,74,78,87,83,91,73,93
3,85,94,90,76,89,83,88,82,87,93,83,83,91,80,75,80,88,87,85,77,89,76,92,82,74,74,74,95,85,77,91,90,91,77,88,89,88,79,83,83,89,86,102,80,86,79,83,91,82,80,81,85,100,83,78,85,82,88,96,94,92,95,79,73,78,85,96,91,96,90,96,74,82,92,85,82,81,81,80,89,85,91,90,82,89,94,78,75,75,88,96,81,93,73,90,79,87,86,87,81,96,85,79,94,93,90,76,97,86,81,88,91,79,86,92,80,90
4,83,82,97,80,93,82,94,79,91,81,87,91,77,92,80,89,82,81,94,76,85,78,89,77,76,79,82,82,77,96,88,76,91,88,73,85,82,75,80,83,78,74,85,81,98,79,79,83,85,80,79,96,92,87,86,88,95,87,85,98,94,90,91,99,81,74,93,95,80,91,85,73,93,92,87,82,86,97,87,83,79,94,94,88,81,83,82,95,86,85,82,92,89,73,83,77,75,79,86,77,88,93,88,82,81,81,85,78,76,81,81,82,100,81,78,82,79
5,74,86,111,93,77,85,83,80,88,77,88,83,88,91,81,88,85,89,94,85,86,83,94,94,82,89,88,79,85,80,85,77,73,73,75,98,88,79,74,78,74,87,99,96,87,78,103,85,82,83,94,80,93,94,79,76,86,83,73,88,87,81,82,88,76,85,86,90,94,91,77,85,82,92,77,80,88,87,83,82,76,81,89,93,75,87,81,81,96,96,89,85,98,94,86,93,81,88,97,85,76,81,105,80,91,87,82,91,81,92,90,85,79,78,80,86,88
6,82,90,104,80,81,92,82,83,78,78,81,79,92,85,81,87,82,79,85,78,83,85,75,86,93,97,77,85,85,97,88,85,98,83,83,88,99,85,91,79,82,85,91,73,83,88,85,78,83,77,87,99,83,81,81,86,85,77,81,90,93,75,86,86,88,80,75,89,88,86,83,90,81,96,87,81,86,88,73,86,85,88,82,82,78,82,82,85,92,102,73,91,87,83,81,87,86,87,79,82,90,74,88,97,79,86,87,78,90,86,85,83,87,87,77,92,87
7,75,88,98,87,92,91,102,86,89,86,73,93,77,79,78,82,80,88,85,82,83,85,88,76,86,91,85,75,85,85,73,83,85,92,86,85,90,97,88,79,78,78,87,73,80,90,83,94,110,79,86,89,78,81,97,93,85,85,85,91,79,87,92,79,92,88,89,93,86,91,86,78,76,99,78,79,80,99,80,91,78,85,82,83,82,96,74,83,91,82,92,88,93,83,85,98,88,79,80,80,92,95,99,81,93,81,103,88,87,82,86,77,89,85,81,87,81
8,81,99,87,82,79,86,89,88,86,80,91,86,83,74,78,77,85,82,89,79,77,96,90,80,93,80,76,86,94,92,88,91,89,88,81,82,89,81,87,96,81,83,76,75,78,87,80,85,82,89,86,74,73,77,85,86,92,76,80,87,95,74,74,90,89,87,75,100,81,83,89,86,82,81,89,80,77,81,83,77,81,85,85,82,83,93,86,81,83,85,85,80,81,87,85,78,90,87,97,83,93,83,88,83,99,78,81,88,93,79,83,78,83,88,79,82,91
9,102,89,91,102,79,81,74,91,85,91,89,89,86,77,93,86,97,82,97,92,83,79,81,90,75,87,81,80,80,78,115,88,98,77,88,78,95,85,78,80,81,88,82,92,90,85,83,86,81,87,88,86,90,96,94,86,85,83,101,89,92,91,97,81,77,77,92,75,82,75,75,82,83,79,83,79,80,81,77,87,88,89,83,96,76,80,88,77,88,88,76,82,93,74,74,83,77,91,82,78,80,90,83,93,77,96,78,93,83,95,97,77,85,79,88,80,93
