,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
0,78,82,83,83,80,77,85,77,78,87,90,76,87,80,80,77,76,74,89,83,95,85,85,81,82,83,85,89,90,89,94,90,87,76,81,70,82,81,85,86,90,89,78,74,78,87,70,93,81,74,77,81,86,86,86,87,83,83,85,91,87,76,78,81,76,86,104,82,86,70,90,83,90,91,81,81,87,82,73,89,78,83,83,91,82,77,78,91,74,73,80,86,91,83,90,81,82,77,81,85,87,87,83,83,91,76,70,73,93,77,86,80,83,91,76,78,83
1,77,87,83,72,78,78,90,89,87,97,80,87,82,83,81,77,95,70,76,91,78,91,86,76,90,80,83,89,93,78,80,76,89,93,80,91,73,76,87,87,81,100,82,77,76,83,86,91,98,87,86,98,91,87,82,91,78,82,78,74,99,97,80,82,90,76,76,111,82,85,81,74,82,89,80,97,108,83,95,78,98,78,89,80,72,73,81,81,74,81,72,89,94,86,82,81,87,99,89,80,85,90,87,70,72,85,80,78,76,80,91,83,83,89,93,87,90
2,89,90,82,90,85,86,90,90,76,80,87,80,86,89,89,85,70,85,82,85,81,94,76,87,81,82,77,87,87,82,76,86,87,82,86,80,87,89,94,91,78,77,85,81,86,87,87,80,87,98,91,83,78,78,85,91,73,80,86,85,87,94,87,81,83,74,83,77,78,82,80,81,76,93,74,83,80,81,87,74,99,89,102,87,87,74,78,90,74,81,80,85,87,86,91,77,89,89,76,86,98,76,82,83,91,82,77,76,80,85,77,77,83,86,87,70,83
3,82,89,85,72,87,86,85,78,83,90,86,89,94,83,70,83,87,91,83,78,89,74,90,86,76,74,74,93,87,74,83,87,83,77,85,81,85,83,80,89,83,80,97,81,80,81,80,89,74,85,80,87,98,85,77,87,85,78,89,93,80,97,82,73,77,87,91,93,91,87,94,77,81,86,83,83,86,80,77,80,77,86,82,78,90,90,74,70,78,86,102,82,93,70,91,83,82,77,80,86,97,83,83,87,87,85,80,90,81,82,87,86,74,81,86,70,81
4,82,86,100,82,91,86,86,73,85,85,77,85,76,89,76,83,86,74,98,73,85,74,86,72,70,78,77,73,76,94,85,76,80,82,76,82,83,77,76,80,81,70,78,86,95,81,83,83,76,81,83,87,97,87,87,81,103,90,87,91,87,86,83,93,83,77,87,94,73,83,87,76,95,85,86,85,86,100,78,80,82,89,82,85,85,80,83,85,83,87,82,87,82,74,83,77,78,74,82,77,82,85,85,82,77,77,89,78,78,80,86,83,93,86,78,81,81
5,73,83,104,89,76,80,80,80,80,73,89,78,93,90,76,80,87,83,94,86,85,76,82,89,85,82,86,83,76,74,90,77,76,70,74,104,81,83,77,72,73,85,99,94,93,80,107,83,78,82,90,83,86,93,73,74,82,87,76,82,80,76,83,83,74,86,86,82,90,86,81,85,77,89,73,82,87,83,86,78,72,73,90,98,77,86,78,81,90,89,82,89,94,89,77,89,80,81,94,81,78,76,98,85,97,83,81,86,85,93,85,80,76,77,77,82,78
6,87,80,108,81,76,86,85,87,77,80,83,78,86,78,83,81,87,82,82,72,83,90,78,82,91,99,80,86,78,93,83,80,87,82,81,83,93,77,98,77,80,81,89,76,77,90,81,80,80,81,90,99,82,86,78,80,81,74,77,82,86,70,80,80,91,80,70,93,81,85,76,86,83,89,76,81,78,81,70,87,85,87,82,74,76,76,87,90,90,98,76,90,80,85,81,87,82,91,81,82,82,74,86,91,76,82,93,77,83,82,73,77,86,80,72,93,81
7,70,83,95,89,91,83,95,77,82,78,76,85,70,80,76,81,76,83,80,82,89,87,83,78,81,86,85,78,73,90,73,85,87,97,82,90,82,106,89,70,80,82,81,72,85,86,78,98,107,72,83,83,73,82,89,85,76,81,81,82,80,83,93,76,86,83,83,94,90,89,77,82,74,95,81,81,80,97,76,87,77,81,76,80,83,90,70,81,85,81,97,81,100,83,77,100,94,80,82,78,87,94,97,77,89,83,99,93,91,77,80,81,82,82,86,93,73
8,82,95,77,83,76,86,83,78,83,81,85,80,80,76,76,81,85,78,86,74,70,94,85,82,94,81,78,81,97,90,89,89,87,78,77,82,85,80,82,90,77,80,70,72,81,91,85,76,81,86,89,73,73,77,77,78,91,80,82,81,100,70,77,82,90,78,73,106,80,82,94,91,86,78,87,77,70,80,72,78,83,86,83,77,77,87,89,81,80,82,89,82,78,86,82,81,87,87,87,89,97,83,91,85,94,77,83,94,95,74,83,76,89,87,82,80,91
9,99,85,82,94,80,76,70,90,89,87,86,87,87,73,100,83,91,80,93,82,85,80,83,94,70,85,76,76,78,74,111,80,98,74,85,77,97,76,76,83,78,77,83,86,81,83,83,90,76,91,86,76,87,91,89,82,89,70,97,91,93,89,95,77,74,80,95,78,78,73,70,85,80,78,76,82,80,81,76,77,85,82,89,93,76,83,83,78,86,83,74,82,91,70,74,83,80,85,81,74,83,81,86,86,76,95,81,83,85,93,95,81,82,73,89,73,94
